"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V10"
"81" 2020 163 8 155.245926 -11.435101 0.279462 0.252482 -0.000612
"82" 2020 163 8.5 132.28923 -8.159191 0.279224 0.252458 -0.000538
"83" 2020 163 9 101.694145 -5.875483 0.279021 0.252442 -0.000452
"84" 2020 163 9.5 110.595573 -17.415831 0.278767 0.252431 -0.000367
"85" 2020 163 10 109.15979 -26.551624 0.278471 0.252425 -0.000282
"86" 2020 163 10.5 103.685623 -37.327427 0.278157 0.252429 -0.000188
"87" 2020 163 11 95.163086 -49.420063 0.277835 0.252445 -8.9e-05
"88" 2020 163 11.5 67.122467 -79.670929 0.277564 0.252485 8.1e-05
"89" 2020 163 12 69.485352 -82.587631 0.277304 0.252523 7.8e-05
"90" 2020 163 12.5 60.656971 -70.22052 0.277102 0.252561 7.5e-05
"91" 2020 163 13 49.439758 -54.899139 0.276944 0.252598 7.2e-05
"92" 2020 163 13.5 37.921227 -37.883137 0.276833 0.252635 6.9e-05
"93" 2020 163 14 30.730934 -27.111097 0.276739 0.252672 6.7e-05
"94" 2020 163 14.5 26.0149 -21.666153 0.276644 0.252708 6.5e-05
"95" 2020 163 15 21.232117 -16.752403 0.276549 0.252744 6.4e-05
"96" 2020 163 15.5 19.210066 -16.307283 0.276466 0.25278 6.3e-05
"97" 2020 163 16 20.159678 -16.866909 0.276401 0.252815 6.2e-05
"98" 2020 163 16.5 21.320118 -17.295757 0.276352 0.25285 6e-05
"99" 2020 163 17 22.588507 -17.676123 0.276318 0.252885 5.9e-05
"100" 2020 163 17.5 23.932358 -18.035851 0.276298 0.25292 5.8e-05
"101" 2020 163 18 25.354246 -18.388403 0.276292 0.252955 5.6e-05
"102" 2020 163 18.5 27.200752 -20.617046 0.276313 0.25299 5.6e-05
"103" 2020 163 19 30.660551 -23.66996 0.276363 0.253025 5.5e-05
"104" 2020 163 19.5 34.009197 -26.629393 0.276442 0.25306 5.4e-05
"105" 2020 163 20 37.442436 -29.535942 0.27655 0.253095 5.4e-05
"106" 2020 163 20.5 41.454098 -35.078552 0.276682 0.25313 5.4e-05
"107" 2020 163 21 47.391651 -45.972233 0.276825 0.253166 5.4e-05
"108" 2020 163 21.5 52.926849 -48.262997 0.276906 0.2532 2e-06
"109" 2020 163 22 51.015293 -44.979702 0.276914 0.253232 -5e-05
"110" 2020 163 22.5 50.81171 -41.992031 0.276845 0.253261 -9.6e-05
"111" 2020 163 23 52.283104 -38.753494 0.276696 0.253284 -0.00014
"112" 2020 163 23.5 55.393471 -35.40501 0.276461 0.253302 -0.000178
"113" 2020 164 0 61.483074 -33.266411 0.276131 0.253311 -0.000212
"114" 2020 164 0.5 109.797928 -43.50053 0.275666 0.253285 -0.00036
"115" 2020 164 1 137.632553 -40.910881 0.275141 0.25324 -0.000487
"116" 2020 164 1.5 169.984558 -43.321514 0.27455 0.253171 -0.000598
"117" 2020 164 2 205.00116 -47.635769 0.27389 0.253076 -0.000706
"118" 2020 164 2.5 237.888519 -50.14727 0.273154 0.252959 -0.000752
"119" 2020 164 3 270.172394 -51.965904 0.27234 0.25282 -0.000789
"120" 2020 164 3.5 276.320557 -24.896284 0.271519 0.252674 -0.000822
"121" 2020 164 4 290.698242 -6.736557 0.270686 0.252515 -0.000861
"122" 2020 164 4.5 308.647339 7.415815 0.269835 0.25234 -0.000895
"123" 2020 164 5 331.486786 17.630522 0.268953 0.252146 -0.000919
"124" 2020 164 5.5 359.106689 24.810417 0.268029 0.251929 -0.000931
"125" 2020 164 6 389.609619 30.993685 0.267053 0.251688 -0.000928
"126" 2020 164 6.5 402.280762 6.513645 0.266055 0.251437 -0.000874
"127" 2020 164 7 388.748169 0.826482 0.265086 0.251193 -0.000821
"128" 2020 164 7.5 378.018341 -6.942846 0.264153 0.250954 -0.000768
"129" 2020 164 8 362.895081 -12.763885 0.263255 0.250724 -0.000708
"130" 2020 164 8.5 345.48999 -18.337387 0.262389 0.250506 -0.000642
"131" 2020 164 9 324.561188 -23.220825 0.261553 0.250303 -0.000571
"132" 2020 164 9.5 290.019684 -28.738964 0.260747 0.250129 -0.000478
"133" 2020 164 10 240.818481 -22.640152 0.259999 0.249996 -0.000384
"134" 2020 164 10.5 192.437592 -17.687977 0.259321 0.2499 -0.000289
"135" 2020 164 11 147.938248 -15.282293 0.258722 0.249836 -0.000193
"136" 2020 164 11.5 63.450626 -62.722309 0.258271 0.249836 6.7e-05
"137" 2020 164 12 53.100616 -43.182369 0.25789 0.249835 6.1e-05
"138" 2020 164 12.5 48.124981 -38.483124 0.257544 0.249835 5.8e-05
"139" 2020 164 13 44.493328 -37.396748 0.257223 0.249834 5.6e-05
"140" 2020 164 13.5 41.468269 -37.22858 0.256925 0.249833 5.5e-05
"141" 2020 164 14 38.794907 -37.165154 0.256645 0.249832 5.3e-05
"142" 2020 164 14.5 36.367813 -36.976913 0.256383 0.249831 5.2e-05
"143" 2020 164 15 34.12619 -36.586586 0.256136 0.24983 5.1e-05
"144" 2020 164 15.5 31.368534 -36.513794 0.255909 0.249828 5e-05
"145" 2020 164 16 28.42292 -35.131973 0.255703 0.249827 4.8e-05
"146" 2020 164 16.5 25.438631 -33.27882 0.255517 0.249826 4.7e-05
"147" 2020 164 17 22.378632 -30.989294 0.255352 0.249824 4.5e-05
"148" 2020 164 17.5 19.256533 -28.33325 0.255209 0.249823 4.3e-05
"149" 2020 164 18 15.91752 -24.931322 0.255089 0.249822 4.1e-05
"150" 2020 164 18.5 13.532657 -22.952398 0.254984 0.24982 4e-05
"151" 2020 164 19 11.355498 -21.454987 0.254894 0.249819 3.9e-05
"152" 2020 164 19.5 9.134528 -19.535318 0.25482 0.249818 3.7e-05
"153" 2020 164 20 6.902261 -17.127773 0.25476 0.249817 3.6e-05
"154" 2020 164 20.5 5.639465 -17.02903 0.254709 0.249817 3.5e-05
"155" 2020 164 21 4.459177 -17.136368 0.254665 0.249816 3.4e-05
"156" 2020 164 21.5 7.219787 -10.618231 0.254615 0.249813 -5e-05
"157" 2020 164 22 12.259567 -7.58586 0.254558 0.249807 -0.000128
"158" 2020 164 22.5 18.948603 -5.328822 0.254497 0.249794 -0.000209
"159" 2020 164 23 26.279608 -3.052387 0.254431 0.249775 -0.000293
"160" 2020 164 23.5 34.446732 -1.103183 0.254358 0.249748 -0.000376
"161" 2020 165 0 43.048615 0.669798 0.254274 0.249714 -0.000454
