"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V10"
"71" 2020 163 3 151.746109 -63.000359 0.238502 0.237643 -0.000735
"72" 2020 163 3.5 211.152588 -84.911316 0.238299 0.237522 -0.000825
"73" 2020 163 4 202.453094 -69.614861 0.23829 0.237421 -0.000914
"74" 2020 163 4.5 231.149628 -75.803848 0.238413 0.237317 -0.000999
"75" 2020 163 5 259.691437 -75.046478 0.238664 0.237212 -0.001093
"76" 2020 163 5.5 286.69165 -68.785278 0.239044 0.237106 -0.001196
"77" 2020 163 6 311.405762 -58.097252 0.239556 0.237002 -0.001298
"78" 2020 163 6.5 294.40625 -59.499374 0.239986 0.236923 -0.001219
"79" 2020 163 7 276.678772 -57.602112 0.240292 0.236846 -0.001136
"80" 2020 163 7.5 252.666443 -51.13583 0.240492 0.236773 -0.001065
"81" 2020 163 8 226.195099 -43.836437 0.240597 0.236704 -0.000979
"82" 2020 163 8.5 195.135727 -34.870514 0.240616 0.236643 -0.000862
"83" 2020 163 9 163.137146 -27.145672 0.240548 0.236589 -0.000731
"84" 2020 163 9.5 146.525452 -31.185215 0.240457 0.236537 -0.000588
"85" 2020 163 10 120.603706 -30.212784 0.240382 0.2365 -0.000438
"86" 2020 163 10.5 96.725616 -31.07781 0.240318 0.236478 -0.000289
"87" 2020 163 11 76.668274 -34.326191 0.240258 0.236469 -0.000142
"88" 2020 163 11.5 54.660744 -34.839645 0.240213 0.236473 6e-06
"89" 2020 163 12 36.589798 -39.323868 0.240201 0.236484 0.000102
"90" 2020 163 12.5 31.077755 -28.243359 0.240209 0.236495 9.5e-05
"91" 2020 163 13 28.119488 -24.217274 0.240224 0.236506 9.1e-05
"92" 2020 163 13.5 25.260401 -20.935734 0.240245 0.236517 8.7e-05
"93" 2020 163 14 22.600462 -17.785477 0.240272 0.236529 8.4e-05
"94" 2020 163 14.5 19.639284 -14.554275 0.240303 0.23654 8e-05
"95" 2020 163 15 12.02569 -10.480896 0.240339 0.236552 7.9e-05
"96" 2020 163 15.5 16.964802 -13.994059 0.240516 0.236564 7.7e-05
"97" 2020 163 16 22.890575 -17.918617 0.240832 0.236577 7.5e-05
"98" 2020 163 16.5 29.131027 -21.951853 0.241287 0.236592 7.3e-05
"99" 2020 163 17 36.301376 -26.581644 0.241876 0.236609 7.1e-05
"100" 2020 163 17.5 43.876862 -31.43647 0.242598 0.236629 6.9e-05
"101" 2020 163 18 52.358093 -36.909901 0.243494 0.236652 6.7e-05
"102" 2020 163 18.5 48.543041 -34.095066 0.244387 0.23668 6.6e-05
"103" 2020 163 19 44.871906 -31.681858 0.245166 0.236712 6.5e-05
"104" 2020 163 19.5 41.358868 -29.382368 0.245786 0.236747 6.5e-05
"105" 2020 163 20 37.994022 -27.130497 0.246228 0.236785 6.4e-05
"106" 2020 163 20.5 34.788593 -24.938492 0.246487 0.236825 6.3e-05
"107" 2020 163 21 31.712021 -22.786198 0.246567 0.236866 6.3e-05
"108" 2020 163 21.5 35.867023 -21.41959 0.246604 0.236906 -2.7e-05
"109" 2020 163 22 40.559002 -20.870781 0.2466 0.236947 -0.000112
"110" 2020 163 22.5 45.463779 -20.29767 0.246555 0.236986 -0.000192
"111" 2020 163 23 50.715355 -19.729877 0.24648 0.237025 -0.000268
"112" 2020 163 23.5 56.010502 -19.079708 0.246375 0.237063 -0.000336
"113" 2020 164 0 61.192337 -18.378424 0.246235 0.237098 -0.000393
"114" 2020 164 0.5 71.854591 -9.902927 0.246098 0.237129 -0.000556
"115" 2020 164 1 52.426006 4.632742 0.245962 0.237137 -0.000684
"116" 2020 164 1.5 87.052292 0.333668 0.245748 0.237113 -0.000779
"117" 2020 164 2 98.073204 4.773373 0.245537 0.237079 -0.000882
"118" 2020 164 2.5 108.527359 7.52483 0.24534 0.237034 -0.000976
"119" 2020 164 3 124.562454 10.551856 0.245131 0.236977 -0.001054
"120" 2020 164 3.5 153.282623 14.193416 0.244848 0.236905 -0.001098
"121" 2020 164 4 190.607895 12.871222 0.244482 0.236811 -0.00117
"122" 2020 164 4.5 354.070099 -42.387012 0.24374 0.236627 -0.001253
"123" 2020 164 5 280.981354 18.861399 0.243144 0.236484 -0.001289
"124" 2020 164 5.5 344.220398 4.49673 0.242431 0.236301 -0.001253
"125" 2020 164 6 391.186218 1.548706 0.241624 0.236089 -0.001228
"126" 2020 164 6.5 412.262817 -21.076372 0.240763 0.235865 -0.001166
"127" 2020 164 7 414.648315 -32.88789 0.239889 0.235638 -0.001117
"128" 2020 164 7.5 417.381653 -47.402882 0.239016 0.235407 -0.001058
"129" 2020 164 8 411.934753 -59.751221 0.238155 0.235178 -0.000979
"130" 2020 164 8.5 398.694275 -70.358574 0.23731 0.234956 -0.000882
"131" 2020 164 9 377.734619 -78.807472 0.236482 0.234747 -0.00077
"132" 2020 164 9.5 332.182068 -77.340103 0.235697 0.234569 -0.000631
"133" 2020 164 10 278.044891 -68.147552 0.234968 0.234426 -0.00049
"134" 2020 164 10.5 223.136169 -58.072643 0.234301 0.23432 -0.000349
"135" 2020 164 11 170.408112 -48.888004 0.233699 0.234247 -0.00021
"136" 2020 164 11.5 121.295494 -41.401169 0.233166 0.234205 -6.9e-05
"137" 2020 164 12 64.776001 -71.356567 0.232728 0.234196 0.000109
"138" 2020 164 12.5 59.255119 -65.909859 0.23233 0.234187 0.000103
"139" 2020 164 13 55.069859 -64.974815 0.231964 0.234177 9.9e-05
"140" 2020 164 13.5 51.334988 -64.4561 0.231626 0.234166 9.6e-05
"141" 2020 164 14 47.603447 -62.842262 0.231315 0.234155 9.3e-05
"142" 2020 164 14.5 43.678818 -59.726376 0.231033 0.234143 9e-05
"143" 2020 164 15 39.165546 -54.331333 0.230784 0.234131 8.6e-05
"144" 2020 164 15.5 34.759956 -50.949211 0.230565 0.234119 8.3e-05
"145" 2020 164 16 30.558653 -47.705391 0.230376 0.234107 7.9e-05
"146" 2020 164 16.5 26.371368 -43.949581 0.230215 0.234094 7.6e-05
"147" 2020 164 17 22.18354 -39.641541 0.230084 0.234082 7.2e-05
"148" 2020 164 17.5 17.817326 -34.358818 0.229982 0.234069 6.9e-05
"149" 2020 164 18 15.244767 -33.142174 0.229897 0.234057 6.6e-05
"150" 2020 164 18.5 13.434942 -31.23461 0.229825 0.234045 6.4e-05
"151" 2020 164 19 11.790669 -29.96977 0.229764 0.234032 6.3e-05
"152" 2020 164 19.5 10.264433 -28.742434 0.229714 0.23402 6.1e-05
"153" 2020 164 20 8.857712 -27.529043 0.229674 0.234008 6e-05
"154" 2020 164 20.5 7.564863 -26.371246 0.229643 0.233996 5.9e-05
"155" 2020 164 21 6.342753 -25.134012 0.22962 0.233983 5.8e-05
"156" 2020 164 21.5 10.98193 -21.608154 0.229589 0.233968 -4.6e-05
"157" 2020 164 22 18.046471 -20.623001 0.229554 0.233948 -0.000155
"158" 2020 164 22.5 27.23024 -20.634899 0.229514 0.233921 -0.000271
"159" 2020 164 23 36.967491 -20.051989 0.229467 0.233887 -0.000374
"160" 2020 164 23.5 46.586071 -19.019979 0.229412 0.233846 -0.000459
"161" 2020 165 0 57.084415 -18.545996 0.229344 0.233799 -0.00053
"162" 2020 165 0.5 74.053558 -13.821539 0.229256 0.23374 -0.00065
"163" 2020 165 1 92.421913 -10.8187 0.229144 0.233669 -0.000747
"164" 2020 165 1.5 112.183464 -8.361959 0.228999 0.233586 -0.000825
"165" 2020 165 2 133.807388 -6.279776 0.228818 0.23349 -0.000898
"166" 2020 165 2.5 157.935745 -4.527021 0.228599 0.233378 -0.000981
"167" 2020 165 3 183.852386 -2.867361 0.228338 0.233251 -0.001059
"168" 2020 165 3.5 199.192749 -2.436648 0.228049 0.233114 -0.001089
"169" 2020 165 4 215.641357 -0.999614 0.227732 0.232967 -0.001124
"170" 2020 165 4.5 230.217392 0.910142 0.227392 0.232811 -0.001165
"171" 2020 165 5 248.832458 1.908512 0.227022 0.232643 -0.001177
"172" 2020 165 5.5 266.220337 3.152204 0.226621 0.232465 -0.001119
"173" 2020 165 6 285.525696 4.391392 0.226188 0.232275 -0.00104
"174" 2020 165 6.5 317.555603 -20.968185 0.225677 0.232068 -0.000933
"175" 2020 165 7 334.832123 -36.858925 0.22512 0.231851 -0.000923
"176" 2020 165 7.5 353.246643 -56.527832 0.224531 0.231624 -0.000905
"177" 2020 165 8 368.318634 -78.403488 0.223906 0.231388 -0.000858
"178" 2020 165 8.5 377.834747 -102.218826 0.223243 0.231149 -0.000781
"179" 2020 165 9 379.268188 -126.858925 0.222534 0.230913 -0.000672
"180" 2020 165 9.5 321.559387 -106.433609 0.22187 0.230719 -0.000535
"181" 2020 165 10 268.471008 -89.95607 0.221247 0.230561 -4e-04
"182" 2020 165 10.5 220.710678 -78.897354 0.220649 0.230439 -0.000269
"183" 2020 165 11 168.850922 -63.64156 0.220089 0.230354 -0.000145
"184" 2020 165 11.5 125.112503 -53.018353 0.219565 0.230299 -2.6e-05
"185" 2020 165 12 71.152184 -57.117104 0.21914 0.230276 0.000108
"186" 2020 165 12.5 66.62513 -50.59721 0.218744 0.230254 9.9e-05
"187" 2020 165 13 62.636726 -49.210857 0.218376 0.230231 9.3e-05
"188" 2020 165 13.5 59.010361 -48.818573 0.218032 0.230208 8.9e-05
"189" 2020 165 14 55.663162 -48.577648 0.217711 0.230186 8.5e-05
"190" 2020 165 14.5 52.544804 -48.324955 0.217411 0.230163 8.1e-05
"191" 2020 165 15 49.618599 -48.029541 0.217131 0.230141 7.8e-05
"192" 2020 165 15.5 45.821636 -44.912514 0.216876 0.230118 7.5e-05
"193" 2020 165 16 42.248165 -41.929165 0.216645 0.230096 7.1e-05
"194" 2020 165 16.5 38.815727 -38.913082 0.216437 0.230074 6.9e-05
"195" 2020 165 17 35.534988 -35.948021 0.216251 0.230052 6.6e-05
"196" 2020 165 17.5 32.38134 -33.023914 0.216086 0.23003 6.3e-05
"197" 2020 165 18 29.339811 -30.149607 0.215941 0.230008 6e-05
"198" 2020 165 18.5 27.865086 -29.8946 0.215805 0.229987 5.8e-05
"199" 2020 165 19 26.459522 -29.700596 0.215679 0.229965 5.7e-05
"200" 2020 165 19.5 25.116653 -29.510771 0.215562 0.229944 5.5e-05
"201" 2020 165 20 23.828472 -29.301567 0.215453 0.229923 5.3e-05
"202" 2020 165 20.5 22.590332 -29.086033 0.215353 0.229901 5.1e-05
